Date,Temperature,Wind Speed
2013-01-03,48.0,14.96
2013-01-04,51.1,19.68
2013-01-05,50.0,14.96
2013-01-06,48.9,10.24
2013-01-07,51.8,20.83
2013-01-08,52.0,27.73
2013-01-09,52.0,26.35
2013-01-10,51.1,9.21
2013-01-11,44.1,8.06
2013-01-12,41.0,8.06
2013-01-13,39.9,8.06
2013-01-14,39.9,6.9
2013-01-15,44.1,6.9
2013-01-16,44.1,11.39
2013-01-17,48.0,12.77
2013-01-18,53.1,6.9
2013-01-19,53.1,8.06
2013-01-20,50.0,6.9
2013-01-21,51.1,5.87
2013-01-22,51.1,8.06
2013-01-23,46.0,13.81
2013-01-24,46.9,8.06
2013-01-25,48.9,16.11
2013-01-26,48.9,11.39
2013-01-27,48.0,9.21
2013-01-28,46.0,18.3
2013-01-29,46.9,19.68
2013-01-30,48.9,17.26
2013-01-31,50.0,11.39
2013-02-01,52.0,12.77
2013-02-02,57.0,10.24
2013-02-03,57.0,13.81
2013-02-04,50.0,5.87
2013-02-05,50.0,20.83
2013-02-06,50.0,17.26
2013-02-07,50.0,17.26
2013-02-08,48.0,13.81
2013-02-09,48.2,9.21
2013-02-10,48.0,8.06
2013-02-11,48.0,10.24
2013-02-12,48.9,13.81
2013-02-13,50.0,16.11
2013-02-14,50.0,8.06
2013-02-15,59.0,11.39
2013-02-16,59.0,14.96
2013-02-17,51.1,14.96
2013-02-18,48.0,14.96
2013-02-19,48.9,14.96
2013-02-20,48.9,11.39
2013-02-21,46.9,19.68
2013-02-22,50.0,29.92
2013-02-23,50.0,20.83
2013-02-24,48.9,18.3
2013-02-25,48.9,21.86
2013-02-26,48.0,11.39
2013-02-27,51.1,11.39
2013-02-28,52.0,20.83
2013-03-01,55.0,19.68
2013-03-02,53.1,18.3
2013-03-03,48.0,16.11
2013-03-04,57.0,17.26
2013-03-05,57.0,10.24
2013-03-06,45.0,12.77
2013-03-07,51.1,13.81
2013-03-08,54.0,12.77
2013-03-09,54.0,14.96
2013-03-10,50.0,10.24
2013-03-11,48.9,10.24
2013-03-12,53.1,17.26
2013-03-13,53.1,13.81
2013-03-14,54.0,16.11
2013-03-15,52.0,19.68
2013-03-16,50.0,18.3
2013-03-17,48.9,20.83
2013-03-18,50.0,12.77
2013-03-19,52.0,10.24
2013-03-20,52.0,28.88
2013-03-21,51.1,23.02
2013-03-22,48.0,14.96
2013-03-23,48.0,14.96
2013-03-24,55.9,11.39
2013-03-25,59.0,10.24
2013-03-26,59.0,8.06
2013-03-27,59.0,8.06
2013-03-28,59.0,10.24
2013-03-29,60.1,12.77
2013-03-30,70.0,13.81
2013-03-31,70.0,12.77
2013-04-01,62.1,19.68
2013-04-02,55.0,13.81
2013-04-03,62.1,8.06
2013-04-04,62.1,24.17
2013-04-05,55.9,25.32
2013-04-06,54.0,23.02
2013-04-07,54.0,23.02
2013-04-08,52.0,13.81
2013-04-09,53.1,10.24
2013-04-10,54.0,25.32
2013-04-11,54.0,13.81
2013-04-12,54.0,11.39
2013-04-13,50.0,23.02
2013-04-14,51.8,20.83
2013-04-15,52.0,14.96
2013-04-16,55.9,14.96
2013-04-17,55.9,10.24
2013-04-18,54.0,12.77
2013-04-19,53.1,19.68
2013-04-20,54.0,12.77
2013-04-21,54.0,14.96
2013-04-22,63.0,14.96
2013-04-23,63.0,16.11
2013-04-24,71.1,18.3
2013-04-25,71.1,18.3
2013-04-26,68.0,11.39
2013-04-27,68.0,16.11
2013-04-28,55.9,13.81
2013-04-29,55.9,19.68
2013-04-30,54.0,14.96
2013-05-01,61.0,19.68
2013-05-02,69.1,24.17
2013-05-03,69.1,20.83
2013-05-04,82.0,16.11
2013-05-05,84.9,16.11
2013-05-06,77.0,16.11
2013-05-07,60.1,17.26
2013-05-08,59.0,12.77
2013-05-09,62.1,13.81
2013-05-10,59.0,11.39
2013-05-11,66.0,10.24
2013-05-12,66.0,24.17
2013-05-13,57.9,20.83
2013-05-14,60.1,16.11
2013-05-15,60.1,9.21
2013-05-16,61.0,21.86
2013-05-17,61.0,18.3
2013-05-18,59.0,9.21
2013-05-19,59.0,17.26
2013-05-20,62.1,16.11
2013-05-21,57.9,19.68
2013-05-22,54.0,12.77
2013-05-23,54.0,13.81
2013-05-24,57.9,12.77
2013-05-25,57.9,10.24
2013-05-26,61.0,19.68
2013-05-27,61.0,18.3
2013-05-28,59.0,19.68
2013-05-29,59.0,16.11
2013-05-30,60.1,16.11
2013-05-31,62.1,13.81
2013-06-01,64.0,13.81
2013-06-02,64.0,13.81
2013-06-03,64.0,17.26
2013-06-04,72.0,20.83
2013-06-05,72.0,17.26
2013-06-06,64.9,14.96
2013-06-07,64.9,16.11
2013-06-08,64.0,20.83
2013-06-09,64.0,19.68
2013-06-10,64.0,19.68
2013-06-11,63.0,16.11
2013-06-12,62.1,13.81
2013-06-13,63.0,14.96
2013-06-14,64.0,11.39
2013-06-15,66.9,12.77
2013-06-16,66.9,13.81
2013-06-17,66.2,19.68
2013-06-18,66.0,19.68
2013-06-19,64.0,18.3
2013-06-20,64.4,14.96
2013-06-21,66.0,12.77
2013-06-22,72.0,9.21
2013-06-23,72.0,10.24
2013-06-24,64.0,18.3
2013-06-25,66.0,20.83
2013-06-26,66.0,17.26
2013-06-27,66.9,17.26
2013-06-28,71.1,11.39
2013-06-29,73.9,10.24
2013-06-30,75.9,13.81
2013-07-01,75.9,13.81
2013-07-02,69.1,20.83
2013-07-03,69.1,17.26
2013-07-04,66.9,17.26
2013-07-05,66.2,16.11
2013-07-06,66.2,11.39
2013-07-07,64.9,11.39
2013-07-08,68.0,12.77
2013-07-09,68.0,17.26
2013-07-10,66.0,24.17
2013-07-11,64.9,19.68
2013-07-12,64.9,17.26
2013-07-13,68.0,19.68
2013-07-14,68.0,21.86
2013-07-15,73.9,20.83
2013-07-16,73.9,18.3
2013-07-17,70.0,12.77
2013-07-18,66.0,20.83
2013-07-19,66.0,20.83
2013-07-20,64.9,19.68
2013-07-21,64.0,16.11
2013-07-22,64.4,13.81
2013-07-23,66.0,14.96
2013-07-24,66.0,19.68
2013-07-25,68.0,20.83
2013-07-26,64.9,20.83
2013-07-27,64.9,17.26
2013-07-28,64.0,10.24
2013-07-29,63.0,10.24
2013-07-30,64.9,9.21
2013-07-31,64.9,9.21
2013-08-01,64.4,12.77
2013-08-02,64.4,12.77
2013-08-03,68.0,16.11
2013-08-04,66.9,17.26
2013-08-05,66.9,16.11
2013-08-06,68.0,11.39
2013-08-07,68.0,12.77
2013-08-08,66.0,17.26
2013-08-09,66.0,16.11
2013-08-10,64.9,10.24
2013-08-11,66.0,10.24
2013-08-12,69.1,11.39
2013-08-13,72.0,12.77
2013-08-14,72.0,12.77
2013-08-15,69.1,5.87
2013-08-16,69.8,12.77
2013-08-17,70.0,11.39
2013-08-18,71.1,10.24
2013-08-19,71.1,11.39
2013-08-20,71.1,19.68
2013-08-21,75.9,18.3
2013-08-22,75.9,16.11
2013-08-23,70.0,16.11
2013-08-24,68.0,16.11
2013-08-25,70.0,9.21
2013-08-26,70.0,17.26
2013-08-27,72.0,12.77
2013-08-28,72.0,12.77
2013-08-29,71.1,19.68
2013-08-30,66.9,17.26
2013-08-31,77.0,10.24
2013-09-01,77.0,13.81
2013-09-02,71.1,19.68
2013-09-03,72.0,16.11
2013-09-04,72.0,13.81
2013-09-05,70.0,11.39
2013-09-06,66.9,12.77
2013-09-07,73.0,12.77
2013-09-08,73.0,18.3
2013-09-09,73.0,17.26
2013-09-10,81.0,16.11
2013-09-11,81.0,17.26
2013-09-12,73.0,14.96
2013-09-13,64.9,6.9
2013-09-14,69.1,10.24
2013-09-15,69.1,10.24
2013-09-16,68.0,12.77
2013-09-17,68.0,10.24
2013-09-18,66.9,10.24
2013-09-19,73.0,12.77
2013-09-20,73.0,16.11
2013-09-21,64.9,12.77
2013-09-22,64.9,25.32
2013-09-23,64.0,13.81
2013-09-24,60.1,12.77
2013-09-25,61.0,12.77
2013-09-26,63.0,11.39
2013-09-27,63.0,20.83
2013-09-28,62.6,34.41
2013-09-29,62.1,27.73
2013-09-30,60.8,34.41
2013-10-01,59.0,16.11
2013-10-02,59.0,12.77
2013-10-03,59.0,9.21
2013-10-04,64.0,9.21
2013-10-05,69.1,8.06
2013-10-06,71.1,20.83
2013-10-07,71.1,19.68
2013-10-08,59.0,20.83
2013-10-09,60.1,14.96
2013-10-10,60.1,12.77
2013-10-11,59.0,8.06
2013-10-12,57.9,10.24
2013-10-13,62.1,13.81
2013-10-14,66.0,13.81
2013-10-15,66.0,10.24
2013-10-16,66.0,14.96
2013-10-17,64.0,9.21
2013-10-18,70.0,9.21
2013-10-19,70.0,8.06
2013-10-20,62.1,9.21
2013-10-21,72.0,5.87
2013-10-22,72.0,8.06
2013-10-23,57.0,5.87
2013-10-24,53.6,9.21
2013-10-25,60.1,9.21
2013-10-26,57.9,9.21
2013-10-27,60.1,17.26
2013-10-28,61.0,16.11
2013-10-29,61.0,12.77
2013-10-30,57.0,12.77
2013-10-31,55.4,12.77
2013-11-01,60.1,9.21
2013-11-02,60.1,24.17
2013-11-03,55.9,21.86
2013-11-04,52.0,9.21
2013-11-05,54.0,19.68
2013-11-06,55.0,9.21
2013-11-07,55.9,25.32
2013-11-08,55.9,19.68
